,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
80,-9134141162993328355,Blank1,Gh11,524.0388839331252,646.4600324400069,693.0659971165343,758.2686790845883,638.0,541.0,236.0,178.0,2.0
81,-9132916695390271428,Mono1,Mono2,607.89007035073,,1581.2321316705716,1233.315448994603,611.0,,147.0,143.0,2.0
82,-9132669045141805852,Gh68,PH,731.750329417065,,1003.6417170019312,866.9765559749223,547.0,,500.0,535.0,2.0
83,-9129673979591179693,EC10,SF2,724.4881031368875,1075.5520113134226,1094.2391918251467,1068.6373057919425,516.0,497.0,451.0,491.0,2.0
84,-9129373404753165180,Blank2,Gh60,617.9580388178217,978.5497220755444,743.0245183612134,1086.7206671408549,571.0,380.0,475.0,143.0,2.0
85,-9128965360576927281,Og85,ParPR2,609.6827510897613,1261.2972123060774,,747.6947576717845,539.0,529.0,,353.0,2.0
86,-9128869232893024674,Gh22,PP,752.4418525495673,860.8795364486156,878.2233171730963,862.5262325001374,589.0,435.0,440.0,433.0,2.0
87,-9127445225697728688,EC18,Gh11,570.3012254099771,740.0982807388486,754.0628567725163,741.5444909232108,663.0,511.0,526.0,402.0,2.0
88,-9126145372825442249,Gh40,Og87,673.6035719356362,,,,564.0,,,,2.0
89,-9126037903487218863,Blank2,SF1,625.4703964564915,933.8807722220612,706.2210942675526,845.6843885239565,583.0,539.0,511.0,492.0,2.0
90,-9125737328649204350,OGI33-L,Og85,616.9775603886924,956.1357828599872,753.9859738063916,824.9107625784246,556.0,507.0,447.0,389.0,2.0
91,-9124839085860707878,Gh36,KA,601.724637892268,706.8444893044285,703.3882918604627,755.0643389859387,496.0,531.0,542.0,361.0,2.0
92,-9122942267672247610,Gh11,Gh24,610.316016673449,788.4520566090896,690.4540395605177,760.1915048734855,545.0,505.0,474.0,384.0,2.0
93,-9122902657026350514,Gh44,Og87,526.5980938363065,617.5602097827996,588.3513667462073,577.2765723407941,462.0,465.0,434.0,435.0,2.0
94,-9122494612850112615,EC10,Gh44,537.6333481844927,623.808673225211,607.0567332205471,595.74710418759,478.0,490.0,472.0,460.0,2.0
95,-9121875381177057943,BI,Gh43,631.8423785600958,760.6096990835699,757.0892865307057,734.1015237911636,577.0,542.0,496.0,431.0,2.0
96,-9120110938266441799,Gh60,PAg3,649.4896408100374,746.4453805775867,928.3162850315996,722.1064254142553,583.0,500.0,496.0,426.0,2.0
97,-9120057354372662770,EA,Gh11,733.429331519586,705.5343860588761,728.6313621902403,717.965023824754,535.0,500.0,492.0,476.0,2.0
98,-9119947202121621451,OGI33-L,SF1,612.5539115252735,1040.7023042479625,724.9345987845913,853.1886220358214,555.0,541.0,477.0,404.0,2.0
99,-9119539157945383552,Gh16,Ut22,745.2873857974072,1052.5728932397394,850.8822265927606,973.3083049482432,524.0,201.0,474.0,285.0,2.0
100,-9119044051771252132,CB,Gh16,683.7694974332152,824.4789817227615,791.6540489155307,790.5435120914877,566.0,613.0,570.0,480.0,2.0
101,-9118858536746151785,Gh38,KA,563.9736091498885,718.8804752127737,774.3174324626746,678.6120269015871,559.0,550.0,503.0,492.0,2.0
102,-9118067040093861049,Gh9,Ut12,690.6114111009449,805.4496230350946,1292.146476864579,832.3749404134822,601.0,584.0,524.0,532.0,2.0
103,-9117658995917623150,PAg1,PK,704.9506139817378,,,808.3298381095009,573.0,,,447.0,2.0
104,-9116311126017660621,Gh54,PH,772.4882243715288,,919.247224117013,888.1653871422051,581.0,,517.0,453.0,2.0
105,-9114430963989900219,EC16,Ut22,837.717939654612,883.2319773913687,1462.920060786359,860.3865898749265,527.0,566.0,486.0,517.0,2.0
106,-9113479796611854810,Gh36,Mono1,607.0453199081243,908.3262971089548,847.8315867813595,740.5022902025904,563.0,588.0,533.0,486.0,2.0
107,-9111768557346282447,Gh22,Ut14,733.2649322800015,826.2231870392178,889.0633308843215,907.4321944387744,531.0,489.0,471.0,457.0,2.0
108,-9111434543392329101,Gh36,Gh40,598.1841037585746,753.4419815905463,714.6141618236949,1108.7632296598813,511.0,568.0,509.0,137.0,2.0
109,-9110645124989000974,ParPR2,Ut12,688.1929655305054,937.9246402488208,900.7880554684748,849.9160735450268,567.0,540.0,500.0,495.0,2.0
110,-9108937227940476636,Gh24,Gh44,639.503292975284,732.5051212467922,856.4867602817978,719.8187044936296,590.0,504.0,527.0,464.0,2.0
111,-9108529183764238737,Gh28,Og90,770.866305424505,,878.0167795039993,897.2867237154652,584.0,,522.0,509.0,2.0
112,-9107648704391429856,Mono1,PAl,719.8586343559151,,856.2376024865977,842.1045647656174,457.0,,412.0,365.0,2.0
113,-9107437112273933488,OGI19-L,Og90,657.7763037998279,935.4451065393756,797.1368293069511,783.8295759222233,548.0,551.0,510.0,492.0,2.0
114,-9106592754929881373,Gh50,Og122,617.0800306592627,880.4300488220892,,1134.3304721957927,494.0,518.0,,121.0,2.0
115,-9105841592125505383,Gh38,Gh9,641.0093160741607,1061.9155567936346,999.2652876562904,760.2528397507589,464.0,420.0,345.0,436.0,2.0
116,-9105301151836515806,Gh24,Ut14,729.8265111844763,833.6335877952909,,833.2174442987387,588.0,539.0,,515.0,2.0
117,-9104012628287469026,Gh36,Og85,719.3210246600396,1101.1875117484744,1002.5523360803622,917.7537781343726,533.0,511.0,471.0,439.0,2.0
118,-9103801036169972658,Blank2,EC11,659.3895247014735,958.984854855686,949.3705615625134,829.8034095444237,589.0,569.0,525.0,461.0,2.0
119,-9103797693952924633,Gh40,PAl,665.5933902222492,760.7754131729952,773.3936512691088,742.6148778212461,572.0,507.0,473.0,489.0,2.0
120,-9103389649776686734,Blank2,Gh24,629.5081939869725,705.394220509225,1087.207369308902,704.0006040866235,592.0,537.0,551.0,507.0,2.0
121,-9102956678825920543,KA,SF1,667.9264232605411,774.6325991267926,883.4693359326382,718.1832094994654,549.0,523.0,498.0,475.0,2.0
122,-9102438482398641325,Gh43,Gh54,809.6630826097467,,1222.1434234090975,912.1238526210132,643.0,,284.0,569.0,2.0
123,-9100558320370880923,Gh9,PAg1,667.0653578626346,823.2141332555469,778.1809432141382,793.5180838049093,571.0,546.0,549.0,427.0,2.0
124,-9098802406294680495,CB,Gh54,778.0071107504679,1228.2038649751305,1094.2134250825354,914.2406034187546,595.0,568.0,505.0,454.0,2.0
125,-9097969943949547704,Gh11,PH,649.0107037761935,774.3674185892929,797.1971934822161,844.4630872819259,531.0,522.0,508.0,415.0,2.0
126,-9097330288443157992,EC10,Gh67,869.2412672135724,1082.4170323708368,1033.2794252624394,917.6457370956754,537.0,568.0,536.0,518.0,2.0
127,-9096758508122099745,Og85,PP,837.1744927021691,866.6162343629759,1251.2673447795582,883.4491745423753,623.0,446.0,544.0,447.0,2.0
128,-9095967734671826659,EC1,KA,611.2433267183295,810.9825178952514,743.1499061130135,704.981616771881,538.0,517.0,491.0,486.0,2.0
129,-9094667881799540220,Gh44,Gh60,616.2909038569088,696.9257248420909,683.7308161873233,663.6793560822404,586.0,519.0,493.0,475.0,2.0
130,-9092971314074255541,Gh28,Gh28,708.2189109110852,1170.781265812276,1353.162172477592,1746.2318410987125,592.0,403.0,154.0,121.0,2.0
131,-9092971314074255541,Gh28,Gh28,706.2958718248834,1167.6022231450115,1349.4879077727755,1741.4902675085875,592.0,403.0,154.0,121.0,2.0
132,-9092971314074255541,Gh28,Gh28,706.2958718248834,1167.6022231450115,1349.4879077727755,1741.4902675085875,592.0,403.0,154.0,121.0,2.0
133,-9092971314074255541,Gh28,Gh28,704.3832477812716,1164.440397946187,1345.833542623648,1736.7743739429818,592.0,403.0,154.0,121.0,2.0
134,-9092331658567865829,Gh67,Mono1,654.8875890516512,995.4546793848436,1091.731004487866,844.7418351709199,556.0,450.0,507.0,404.0,2.0
135,-9091338802294960715,Gh30,Gh62,676.8908922825607,942.458109942259,891.9833087041748,788.4671437706447,566.0,559.0,527.0,500.0,2.0
136,-9090548028844687629,EC9,PH,830.0403241830759,,993.9639716346196,970.9991823028788,550.0,,528.0,487.0,2.0
137,-9086288974229944507,CB,Gh62,665.6145158733588,1443.2156586890003,767.5872279400829,1108.345244519912,577.0,570.0,539.0,511.0,2.0
138,-9084868054568146049,CB,EC14,804.5921528886123,1639.2297356827255,2425.1353598995656,,558.0,426.0,108.0,,2.0
139,-9084460010391908150,Gh22,Gh68,734.8480545856677,1141.8045961979624,1195.236150701982,1046.998597754694,564.0,502.0,254.0,237.0,2.0
140,-9083457644824138696,Blank1,Gh36,613.4413959686293,912.9670425303324,962.771871693544,742.0393875712952,659.0,144.0,147.0,517.0,2.0
141,-9082652898125983677,EC17,Gh30,638.849095984586,1097.369508330435,1135.36834894593,778.4245694661696,573.0,551.0,525.0,484.0,2.0
142,-9081231978464185219,Gh28,Gh50,680.0617561961864,872.8529561364917,835.175099719241,1039.0779531811177,493.0,459.0,297.0,158.0,2.0
143,-9080705532257985129,Ut12,Ut22,829.5285436396535,957.6249448797396,983.5809781119672,973.0565290206016,572.0,584.0,555.0,525.0,2.0
144,-9080139906973879970,EC14,Gh28,790.4765761554456,1114.2093115173077,1082.6858051974316,946.7741224130488,591.0,549.0,535.0,486.0,2.0
145,-9079731862797642071,Gh43,LA,737.0565508497809,866.5953129818375,850.9901752596728,986.229589518142,580.0,553.0,534.0,504.0,2.0
146,-9079657832575357518,Gh38,RP2,631.9765658938699,1200.0160995850374,752.2499868549077,1015.6134180408658,574.0,452.0,506.0,406.0,2.0
147,-9078777353202548637,Mono1,Ut12,608.150909298947,966.1546271539,891.0459392852242,806.3204603197894,712.0,585.0,535.0,480.0,2.0
148,-9077069456154024299,LA,OGI33-L,726.5690747352388,794.0855027696957,959.285571827584,933.181915681591,528.0,436.0,105.0,378.0,2.0
149,-9074238126748218488,Blank2,Gh50,541.3186205550975,825.3120876599475,774.5596752921492,717.142076573275,547.0,527.0,501.0,482.0,2.0
150,-9073598471241828776,Gh36,Mono1,650.6067234446459,1009.4383576505464,902.558081993835,786.4538031807859,590.0,591.0,472.0,411.0,2.0
151,-9072144856501016689,Gh16,Gh28,700.736169458792,988.7834107124388,1012.9107745094371,1122.0078106466767,603.0,503.0,203.0,175.0,2.0
152,-9071010094820495557,PAl,RP2,634.6478054292147,811.8952070093751,799.3135885177967,815.1159060856562,538.0,408.0,380.0,369.0,2.0
153,-9067359334845165923,Og90,ParPR2,689.986700798741,,804.2152994451043,850.9848742748004,622.0,,525.0,391.0,2.0
154,-9066962632323248803,Gh36,Mono1,627.5441350847078,850.2448232848676,799.6906290287143,782.4456618329249,673.0,562.0,603.0,507.0,2.0
155,-9063039231427137743,EC9,Gh40,717.3533031583497,1088.0635893936276,1009.5911219050035,905.691765794724,564.0,541.0,506.0,469.0,2.0
156,-9062631187250899844,EC11,Gh30,766.7273018630748,1130.9922342815646,1036.7966613585295,928.3576136051862,572.0,553.0,528.0,499.0,2.0
157,-9061676677655806410,EC9,RP1,776.4819020497625,1680.5810241725824,1456.6776573368563,1383.015771883374,560.0,551.0,506.0,466.0,2.0
158,-9059560736431044173,Gh44,PK,603.3583907419993,716.7403852234688,650.1132387222115,641.7095959490499,532.0,492.0,467.0,451.0,2.0
159,-9058040601551845580,Ut12,Ut12,734.7973556844105,1155.6146250173583,1076.9438092430762,1011.4194853407676,565.0,541.0,506.0,476.0,2.0
160,-9058040601551845580,Ut12,Ut12,764.153820015312,1201.783489476583,1119.969634360509,1051.827496903805,565.0,541.0,506.0,476.0,2.0
161,-9058040601551845580,Ut12,Ut12,764.153820015312,1201.783489476583,1119.969634360509,1051.827496903805,565.0,541.0,506.0,476.0,2.0
162,-9058040601551845580,Ut12,Ut12,795.9535847235364,1251.7949285279751,1166.5764429900944,1095.5986147587305,565.0,541.0,506.0,476.0,2.0
163,-9057632557375607681,Gh30,LA,709.3767905702233,1328.7309833691684,1229.450619902476,1050.4164645512228,576.0,555.0,525.0,469.0,2.0
164,-9054288806330740492,Gh28,Og85,781.7778865659526,1570.6370374377657,1381.8749299358776,1025.6794648966168,531.0,577.0,490.0,404.0,2.0
165,-9053498032880467406,Gh9,PK,673.9026022121171,839.8245938576581,1269.3276650211671,786.0152041363568,551.0,552.0,514.0,481.0,2.0
166,-9053089988704229507,Blank2,RP2,590.3510082045327,667.8189821833784,735.0176733931058,754.7950861345641,583.0,561.0,514.0,433.0,2.0
167,-9052681944527991608,KA,Ut12,550.7536259994299,714.7529859302555,690.3826074769959,1008.0455283384156,514.0,550.0,505.0,129.0,2.0
168,-9051569853825030914,Og122,PAg3,639.4545359245376,708.527414567433,769.0298709144319,740.33795241758,578.0,552.0,513.0,448.0,2.0
169,-9051457476924934681,Gh62,PAg1,727.3548322340515,848.7085435394285,915.8463675831242,1449.928194676013,635.0,559.0,319.0,111.0,2.0
170,-9049861956776506576,ParPR2,Ut14,729.4026407544143,788.7578777854266,1035.082565055882,805.5271928889387,582.0,526.0,530.0,474.0,2.0
171,-9049453912600268677,BI,LA,746.3722025969026,898.1816811370976,851.5239955973723,949.371075459096,576.0,418.0,467.0,457.0,2.0
172,-9048361841109963428,OGI33-L,Og85,734.6825211562382,1044.2932633257517,1053.5304676107205,959.5480632056536,559.0,526.0,491.0,444.0,2.0
173,-9047073317560916648,Og85,SF1,706.6306427330561,845.7016978155984,843.683674810886,1162.129326046458,608.0,415.0,289.0,195.0,2.0
174,-9046433662054526936,OGI19-L,Og87,690.5470236052195,,1173.45991103989,904.0315618641253,560.0,,502.0,462.0,2.0
175,-9045530511704157617,Gh30,Gh60,640.9726573936631,1027.4428533589648,909.4227974414604,830.0720911630001,547.0,548.0,512.0,498.0,2.0
176,-9044576002109064183,EC9,Gh40,768.7124173988275,1110.237249975663,1095.4490838816191,983.0753971959412,597.0,555.0,531.0,478.0,2.0
177,-9042370354961766151,EC10,Gh60,708.9596186019386,1052.2502786898017,816.088751528539,913.2502200159164,598.0,529.0,471.0,434.0,2.0
178,-9041730699455376439,Gh54,Gh68,706.2527529681557,1006.489080332341,932.819994254275,976.2429390163868,610.0,639.0,458.0,230.0,2.0
179,-9041171537335255166,OGI33-L,Ut22,788.6375012678456,1019.0210083182046,,1679.079395987664,480.0,178.0,,489.0,2.0
180,-9040442175906329659,Gh24,RP2,594.2840317164342,763.4311803534941,1153.357011466279,775.3604487001353,584.0,445.0,478.0,324.0,2.0
181,-9039243358279818674,EC17,Gh36,706.2305284193991,913.303933938256,805.069104858033,1290.6642711348848,687.0,489.0,187.0,155.0,2.0
182,-9038487983656284704,Og84,PH,706.1343180029141,1037.482445165222,876.07772641792,987.9551415985998,579.0,561.0,508.0,464.0,2.0
183,-9036743964579003600,CF,EC18,751.3989118874471,860.2294116743062,874.0163362477446,866.1673929036032,614.0,605.0,570.0,500.0,2.0
184,-9035899607234951485,EC16,Ut14,635.0427735251201,773.0545578396959,769.8214218298461,751.2386434483884,513.0,457.0,437.0,421.0,2.0
185,-9035259951728561773,Blank1,KA,586.3547275215459,,771.2624381157681,716.6064603951102,600.0,,443.0,418.0,2.0
186,-9033107888475042770,Gh29,Gh44,619.6393249449762,745.329530120495,695.024768766953,677.7447849421708,593.0,509.0,574.0,413.0,2.0
187,-9032263531130990655,Blank2,Gh50,535.4716703911905,782.7230117707239,737.5873588407272,659.6777287014426,538.0,507.0,482.0,464.0,2.0
188,-9031171459640685406,Blank2,Gh54,595.734484282837,881.5083974395957,692.9184475172628,714.8547190111308,571.0,529.0,437.0,302.0,2.0
189,-9030763415464447507,EC9,Ut22,710.2945577780854,824.9524310440341,932.676812636892,1061.1590458330302,554.0,485.0,312.0,121.0,2.0
190,-9030112822924416611,RP1,SF2,679.8200944546336,1305.2334389442683,1280.2285221502143,1199.5248355331626,570.0,612.0,524.0,474.0,2.0
191,-9025570254253038437,Gh30,PAl,745.4095725496953,,926.8929999094224,853.1350696796127,584.0,,461.0,480.0,2.0
192,-9024630023908634212,EC11,EC17,758.8907520905403,1368.4200853573866,951.824393248659,2294.7139810686026,620.0,598.0,530.0,120.0,2.0
193,-9024292667737632841,EC10,SF2,683.9281876373751,1090.2231592238886,973.7751661053244,905.4532094121388,550.0,510.0,495.0,480.0,2.0
194,-9022933456183349533,EC10,OGI33-L,655.0724635497522,,752.6017856791657,834.8884712921785,626.0,,478.0,316.0,2.0
195,-9021387308109542477,EC10,PH,785.709889268258,907.710000706262,959.3900577178084,950.8108238618876,567.0,485.0,493.0,511.0,2.0
196,-9020735360522566622,Gh28,PP,735.8623895045242,914.1871479064124,847.4490143993245,896.9284205746201,530.0,506.0,431.0,411.0,2.0
