sample2,P_putida3,P_plecoglossicida1,E_aerogenes,P_monteilii1,B_cereus1,R_planticola4,P_simiae,P_koreensis3,R_planticola3,R_planticola1,C_freundii1,C_lactis3,E_cloacae2,P_vagans,P_eucalypti,P_corrugata,C_freundii2,R_planticola2,E_americana2,P_viridiflava,P_mosselii,B_safensis1,E_cloacae1,B_izardii2,E_coli1,B_cereus,L_amnigena,F_ginsengiterrae,B_cereus2,P_agglomerans3,P_rhodesiae2,S_fonticola3,P_putida2,P_citronellolis,A_tumefaciens,P_putida1,S_rhizophila,C_lactis6,EColi_gfp,B_subtilis,B_izardii1,B_thuringiensis,P_helmanticensis,P_monteilii2,E_americana3,P_allii,P_koreensis1,PAg1_gfp,F_banpakuense2,E_americana1,S_fonticola2,PP_gfp,P_agglomerans1,S_fonticola1,E_cloacae,B_albus,P_koreensis2
C_freundii1,2.3169437420548338,2.3455785392098862,2.5441344229395355,2.4642800789716643,2.304011810593718,2.4034354921765324,2.59186006254793,2.4934847638591053,2.341343226460226,2.0074181065922616,1.8723022592519616,2.558245359994321,2.380818351353697,2.7002841079998308,2.4009153523630786,2.5706356101077734,2.6628718808087184,2.3052962176910126,2.5756529501519916,2.893220460293363,2.3237001747764516,2.67710354934545,2.4098207635427844,2.6790035342344076,2.703715436799795,2.755274643441925,2.496789498933839,2.4276623818962064,2.477250326600095,2.783244657731996,2.518602694432623,2.492979273153866,2.373891483375847,2.2561212236846933,2.6905036727189344,2.3301516873804418,2.593321107554398,2.5408370016044226,2.534729860763774,2.92997485083826,2.392022290095703,2.3610248639197096,2.524166523310904,2.2875973772940834,2.482050616816241,2.7076780565904417,2.539745215209717,2.097425430403943,2.451372083083506,2.10375564827857,2.4929244561270663,2.212631983726911,2.5818089422093395,2.335221151835359,2.350453665134136,3.493383304329756,2.403908476360184
C_lactis3,1.6566312202780678,1.7321122942811762,1.8049880886033574,2.2082658354464484,1.7985510835113916,0.757228499199548,2.943253132165156,1.5222828252332088,1.329009781754822,1.6769728084410682,2.558245359994321,0.0,1.8055506085402315,1.203802309351498,1.2520299517184086,0.9268495023465245,2.47056289132659,0.8445253104555245,1.5294201515607149,1.2069490461490078,1.7538682960815501,1.0713664172448194,1.7979869298746307,1.5089774683539845,1.5902754478391474,1.38362241959286,1.9432712111282873,0.7495445283637258,1.7995235480537621,1.7948529187652118,1.5281253220858557,1.6131478543518574,1.5513661721205603,0.7921931582638163,2.167335922278778,1.6310107295784415,2.039580103844907,0.8621363001289298,2.1830916358079135,1.7144048530029308,2.5132551161098746,1.8126309607860065,1.5839715906543275,1.6246424221963427,1.2256981683922024,1.822023325866055,0.8388587485387513,2.2235690443745604,1.361413970840611,1.9083148806108556,1.4956409997054774,2.120626243036972,1.7476415536373586,1.167029562607563,1.7649478745844027,3.265103367429582,1.878406239342278
E_cloacae2,1.4789340756098632,1.5391647085351199,0.7175729928028228,1.9354268263098968,1.4790020283961751,1.3274705269797895,2.7814010857839255,1.7224058755125053,1.6009859462218896,1.7457595395156522,2.380818351353697,1.8055506085402315,0.0,1.3270037678921638,1.568906625647301,1.5139468286568059,1.2591489189130887,1.3140106544469112,1.0666531769980343,2.1802763586297953,1.5886122875012645,1.6263102410056942,0.9016906343086857,1.8626218080973929,1.3205964561515375,2.4619817221092446,0.5782317874347622,1.4477707000765,0.7319098305119285,1.534065187663158,1.476470792125601,1.4310978303386532,1.4702122295777573,1.2535808709453093,1.718659361246434,1.4481626289888851,0.6594982941600379,1.4971726687326348,1.906030934094659,1.5971696841600769,2.1253472278924495,0.07761443164772905,1.6348672729001583,1.3892652734449242,1.3623468721291212,1.6202012220708883,1.7205048677641106,1.6203588817334915,1.3146653566592528,1.3512395278912777,1.666347202716169,1.914767327036381,1.49908505429145,1.2535322093987056,0.09823441352194245,2.5201609075612614,1.6018149081588673
P_vagans,1.7806142198690877,1.786581932070287,1.3682243968004664,2.2776913750550136,1.797360843014001,1.2614725522182397,3.054619616253389,1.487227958317083,1.6806745669522103,1.9453444291831141,2.7002841079998308,1.203802309351498,1.3270037678921638,0.0,1.6262315333309707,0.9110686033444464,2.227169279601351,1.4069054694612568,0.9299225774224433,1.8241787193145305,1.7551848905457226,1.241535339811155,1.6022549734670823,2.0645413534245325,1.3285006586373977,1.9515801290236585,1.4837550336898608,0.8569031450519948,1.2543368766005407,1.5727552257106,1.4891692314844542,1.4849040373034212,1.684062647290771,1.1936825373607507,1.9608006017950934,1.6856553621663,1.5682579507211178,0.7404883523729459,2.037996513001905,1.3375499990654554,2.5680067058619276,1.3553992031870168,1.6743416616688482,1.6762120987512288,1.0051537195872084,1.830820854152585,1.4245118462125894,2.056086378843262,1.5923900276000225,1.6086719163868377,1.5470914646523002,2.1626947914558174,1.5205094540975401,1.153400190740404,1.3190235024441377,2.8593887458685994,1.8292402794603009
P_eucalypti,1.5712670046812538,1.6687348501184962,1.5936803318106176,2.082605819640385,1.7177773429638663,0.9631749581462344,2.821672199246397,1.7805948444269966,0.3881185385935592,1.6064666208361937,2.4009153523630786,1.2520299517184086,1.568906625647301,1.6262315333309707,0.0,1.4380226006568881,2.155796836438907,0.9463508862995798,1.6986615319127,1.5894876533021576,1.739834762269107,1.2776897119410486,1.6497830160357452,1.4397652586446168,1.6127588164384654,1.9844132634106235,1.4872094674254865,1.3084593994465399,1.6967574959315783,1.3266800669339989,1.6061649977508536,0.9256624654808038,1.5021724268538548,1.081383835647639,1.5485483524901635,1.575325680613377,1.7420218138703085,1.4333073641058296,2.147462426234502,1.818842214157127,2.226874217405521,1.5618181712350514,1.6392885652013802,1.555953726818378,1.0893121682970406,1.3976351455226073,1.3425844479957305,1.7350954696388947,1.1556647437730374,1.831315856137242,0.9503478310597652,1.9661471828589285,1.47405427308495,1.2932938567858427,1.5281452810515108,3.2250043410823497,1.8275423387708423
P_corrugata,1.2264440468280646,1.275403073541851,1.4390990236950338,1.7714033984386504,1.3269551612620525,1.0772729459148225,2.540430475332872,0.888636596140402,1.5094995859555576,1.73764486133259,2.5706356101077734,0.9268495023465245,1.5139468286568059,0.9110686033444464,1.4380226006568881,0.0,2.108517725796964,1.1270479137995864,0.9449962962890384,1.2548187120058418,1.3243239784886476,1.0886872829237972,1.573544724499434,1.6252984341344823,1.5210332014785213,1.2264595386721895,1.6385276927778794,0.44936288231228005,1.494475493275149,1.7259342397669735,0.9176409973404631,1.44442860675078,1.097339054258072,0.7480227269274644,1.987758285104102,1.1636769311110364,1.6890260507168027,0.36695640067997193,2.1107951361048354,1.661380149153107,2.4777631150308004,1.530504818679118,0.9927940370489742,1.178783695170577,0.9443601008090081,1.7605422460139943,0.748923227039995,2.1490287306566414,1.3841575054884467,1.6948596588898086,1.3922277112599073,1.7235352514747306,1.5941364433447973,0.9776911577793879,1.505146836690693,2.7521882203076156,1.3450137545765097
C_freundii2,1.8458320617000885,1.9540547587004822,1.1439182663110157,2.1702596618838035,1.9020023659291276,2.0493667314563297,2.829085011094577,2.1437052036135937,2.2111069625868396,2.3050802707692104,2.6628718808087184,2.47056289132659,1.2591489189130887,2.227169279601351,2.155796836438907,2.108517725796964,0.0,1.922387577987332,1.6949463118340946,2.5815284232407745,2.0108702096356197,2.3003832289425166,1.627777626090247,2.0165614297610674,2.026922050795245,2.865422481938746,1.1780365019811567,2.02455081437834,1.4642281243030402,2.1200839606015607,1.8854474270050596,1.8774836883445887,1.8895920194581686,1.791173637590728,2.3310581288333414,1.8828693528760831,1.0480725165750697,2.119029966753656,2.308285106750705,2.428461035306105,2.4702494018709533,1.2573869730516536,2.0004217055411093,1.7669867005724746,1.8736352366455964,1.7685892683152864,2.20061105150365,2.1693262897724956,1.7462986571603378,1.8585218184540715,2.0967005031715904,2.2299291765138296,2.102051854736224,1.7544397966302518,1.3172228361215121,1.7095908867328464,1.9682985037844234
R_planticola2,1.259826972246586,1.3884401319466388,1.3204275822626548,1.850446702826104,1.4760694428108725,0.2884059638773096,2.6659459859494525,1.526185440895044,1.0314135930847528,1.371234089518598,2.3052962176910126,0.8445253104555245,1.3140106544469112,1.4069054694612568,0.9463508862995798,1.1270479137995864,1.922387577987332,0.0,1.4908423793278751,1.2506786157922425,1.4624585464210602,1.033393922954843,1.3690507660419318,0.9960602391421917,1.394661607702743,1.7395372947999705,1.4274739927578364,0.983148005134527,1.4687348297088896,1.6212020231914344,1.316828766392958,1.4227610481033002,1.1768406859044263,0.5248171110015373,1.9127101191764528,1.2740419930284872,1.5050900305297354,1.1287763285965913,2.011231862813446,1.6529570472338355,2.2290794114323056,1.3044861057136639,1.363976172812414,1.2375265653714265,1.2498715934046984,1.6553313867621795,0.9917706388071791,1.8381103021005005,0.7945193515579089,1.655049400310331,1.3941653417009046,1.8205342529730264,1.583806175010061,1.0159404510107863,1.2676939693790452,3.1036576808662386,1.5767133537837497
E_americana2,1.4666120823176112,1.5056888788856746,1.1799355914625171,1.955812874484673,1.3594896101110887,1.4390576777877946,2.7494201206799955,1.3035969469126567,1.7672020258023697,1.92120564551303,2.5756529501519916,1.5294201515607149,1.0666531769980343,0.9299225774224433,1.6986615319127,0.9449962962890384,1.6949463118340946,1.4908423793278751,0.0,2.0291663312799177,1.587658653489471,1.5654922548514894,1.4947725579498712,2.118665853786293,1.3904905609172613,1.888092423585244,1.1921514165574774,1.0283584005588713,0.9724695367979399,1.5775351026205406,1.183417508743216,1.4402798339211724,1.4047373419967164,1.1637070077987843,1.8472344193415196,1.411051381063071,1.2740333590608997,1.0262187875886897,1.9757158245211524,1.5995536877516803,2.2647617354158758,1.0995030695727959,1.340856442726066,1.4088282365143023,1.112319198791426,1.5333574273469313,1.2592275409948752,1.9913059020430421,1.622732263806941,1.507001716587651,1.6173113491223639,1.895775747683441,1.4468362035835294,1.176422543136606,1.076634106834815,2.3434389260230355,1.525117044688702
P_viridiflava,1.772194966700899,1.859540534648277,1.8793493554951406,2.305317765515201,2.0258376045478075,1.254930675376134,2.9934690577989946,1.6860868898132149,1.653720351208148,1.982361866539259,2.893220460293363,1.2069490461490078,2.1802763586297953,1.8241787193145305,1.5894876533021576,1.2548187120058418,2.5815284232407745,1.2506786157922425,2.0291663312799177,0.0,1.9638533550140653,0.8711348919656472,2.1336318801517753,1.0153250710979218,1.7064407402544044,1.773566745290405,2.2855172281127087,1.3554478964534196,2.411101615444691,1.9185966225342939,1.7474836193795922,2.0750807213214624,1.6739620664758208,1.294493723430129,2.183999313186705,1.769208862740632,2.172209244064669,1.345590205077311,2.279537117693951,1.8193075605845208,2.9337419724112315,2.1690129091363195,1.69199172574809,1.7713833577179163,1.7136814173001935,2.048676401972747,1.133960316765979,2.30580141220336,1.1909391252284895,2.1629199532676275,1.9516065177181594,2.198536509737888,1.8154572426802014,1.779965168198524,2.160721870116559,3.395697277438023,2.0100452731219765
