,sample1,sample2,sample3,t1,combined_effect,Count,STE,mono_s1_effect,mono_s1_Count,mono_s1_STE,mono_s1_qual_e,mono_s2_effect,mono_s2_Count,mono_s2_STE,mono_s2_qual_e,mono_s3_effect,mono_s3_Count,mono_s3_STE,mono_s3_qual_e,additive_single,mean_single,strongest_single
214,B_albus,C_lathyri2,P_corrugata,793.356,-1.928395062398527,10,8.33930212384458,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-2.444866897376543,16,8.527663018527738,-,-2.1419991266512195,-0.7139997088837399,-2.444866897376543
215,B_albus,C_lathyri2,P_koreensis1,326.272,-2.8169357221027584,3,8.314805609246006,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.0806494647724176,3,8.457991157018645,-,-2.777781694047094,-0.9259272313490313,-3.0806494647724176
216,B_albus,C_lathyri2,P_koreensis2,341.81899999999996,-2.7703857542166275,8,8.283532496442032,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-2.8577724666950157,14,8.449351249455624,-,-2.554904695969692,-0.851634898656564,-2.8577724666950157
217,B_albus,C_lathyri2,P_monteilii1,980.4575,-1.716647811951409,6,7.389614948129624,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.725173686179471,6,8.057462713095045,-,-3.4223059154541473,-1.1407686384847158,-3.725173686179471
218,B_albus,C_lathyri2,P_monteilii2,298.744,-2.9050800920543214,8,8.403539824030597,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.4057806532246064,10,8.340370466170931,-,-3.102912882499283,-1.0343042941664276,-3.4057806532246064
219,B_albus,C_lathyri2,P_mosselii,349.326,-2.748661527790231,7,8.201071041205134,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-2.8896051566140897,9,8.166303037424205,-,-2.586737385888766,-0.8622457952962553,-2.8896051566140897
220,B_albus,C_lathyri2,P_putida1,1416.67,-1.3486027852275926,2,8.554871000854206,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.193974639073774,14,8.430923337534912,-,-2.8911068683484507,-0.9637022894494836,-3.193974639073774
221,B_albus,C_lathyri2,P_putida2,511.939,-2.366461634099654,7,7.506978334383645,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.516657281437793,12,8.503266583704185,-,-3.2137895107124694,-1.0712631702374897,-3.516657281437793
222,B_albus,C_lathyri2,P_putida3,275.846,-2.984824372437452,5,7.590596233672844,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-3.342526296187483,11,8.447172800478857,-,-3.0396585254621593,-1.0132195084873865,-3.342526296187483
223,B_albus,C_lathyri2,P_simiae,676.5245,-2.087698448644584,4,7.74714419522258,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-2.2834259074224796,5,8.402770975652023,-,-1.980558136697156,-0.6601860455657187,-2.2834259074224796
224,B_albus,C_lathyri2,RP1,643.999,-2.1369699381082365,4,8.08070239991117,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,-2.33802649190201,13,8.4949470762183,-,-2.0351587211766864,-0.6783862403922288,-2.33802649190201
225,B_albus,C_lathyri2,S_rhizophila,7591.317,0.33009326170741327,5,8.391517885680605,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,0.1559805999711427,12,8.516135911480227,+,0.4588483706964662,0.15294945689882208,0.46474912309751293
