,index,Count,STE,additive,combined_effect,focal,good_to_use,i1_f_abxr_distance,i1_f_mtb_distance,i1_f_phg_distance,i1_max_od,i1_time_to_thresh,i2_f_abxr_distance,i2_f_mtb_distance,i2_f_phg_distance,i2_max_od,i2_time_to_thresh,iso1t_abxr_distance,iso1t_mtb_distance,iso1t_phg_distance,iso2t_abxr_distance,iso2t_mtb_distance,iso2t_phg_distance,isos_abxr_distance,isos_mtb_distance,isos_phg_distance,mean,mono_s1_effect,mono_s1_qual_e,mono_s2_effect,mono_s2_qual_e,sample1,sample2,strongest,comm_size,qual_monos,qual_effect,modified_strongest
25,377,141,0.0300971428319252,0.3105227613828987,0.1552613806914493,EC,y,,2.2980992145684223,0.265,0.1045,0.021164021164021163,,2.2980992145684223,0.265,0.1045,0.021164021164021163,,,,,,,,0.0,0.0,0.1552613806914493,0.1552613806914493,+,0.1552613806914493,+,C_lactis4,C_lactis4,0.1552613806914493,single,"+,+",Positive,0.1552613806914493
26,405,122,0.0266948863918031,0.1604343266282177,0.0802171633141088,EC,y,,2.5495933009011456,0.265,0.5700000000000001,0.025974025974025976,,2.5495933009011456,0.265,0.5700000000000001,0.025974025974025976,,,,,,,,0.0,0.0,0.0802171633141088,0.0802171633141088,+,0.0802171633141088,+,C_lactis5,C_lactis5,0.0802171633141088,single,"+,+",Positive,0.0802171633141088
27,434,41,0.0344301002516611,-4.678363798926389,-2.3391818994631945,EC,y,1.7064407402544044,1.7135066384464344,0.122,0.9444999999999999,0.028169014084507043,1.7064407402544044,1.7135066384464344,0.122,0.9444999999999999,0.028169014084507043,,,,,,,0.0,0.0,0.0,-2.3391818994631945,-2.3391818994631945,-,-2.3391818994631945,-,P_viridiflava,P_viridiflava,-2.3391818994631945,single,"-,-",Negative,-2.3391818994631945
28,494,52,1.375123838277164,-0.2809714282433836,-0.1404857141216918,EC,y,,2.20927386260735,0.17,0.0015,,,2.20927386260735,0.17,0.0015,,,,,,,,,0.0,0.0,-0.1404857141216918,-0.1404857141216918,-,-0.1404857141216918,-,V_guangxiensis,V_guangxiensis,-0.1404857141216918,single,"-,-",Negative,-0.1404857141216918
29,525,145,0.0386875050904426,0.1956231109603683,0.0978115554801841,EC,y,1.5571348689179112,2.1121330450518503,0.265,0.362,0.028169014084507043,1.5571348689179112,2.1121330450518503,0.265,0.362,0.028169014084507043,,,,,,,0.0,0.0,0.0,0.0978115554801841,0.0978115554801841,+,0.0978115554801841,+,C_lactis6,C_lactis6,0.0978115554801841,single,"+,+",Positive,0.0978115554801841
30,558,138,0.0391838946464804,0.1279018640234332,0.0639509320117166,EC,y,1.56524470930267,2.0493311103869964,0.265,0.132,0.027586206896551724,1.56524470930267,2.0493311103869964,0.265,0.132,0.027586206896551724,,,,,,,0.0,0.0,0.0,0.0639509320117166,0.0639509320117166,+,0.0639509320117166,+,F_ginsengiterrae,F_ginsengiterrae,0.0639509320117166,single,"+,+",Positive,0.0639509320117166
31,592,76,0.033612580670233,0.433187065848776,0.216593532924388,EC,y,,2.1435967437930112,0.265,0.092,,,2.1435967437930112,0.265,0.092,,,,,,,,,0.0,0.0,0.216593532924388,0.216593532924388,+,0.216593532924388,+,C_lactis7,C_lactis7,0.216593532924388,single,"+,+",Positive,0.216593532924388
32,627,83,0.0933994449826172,-6.379820548824704,-3.189910274412352,EC,y,2.088547581454634,2.1687300431358443,0.122,1.0910000000000002,0.056338028169014086,2.088547581454634,2.1687300431358443,0.122,1.0910000000000002,0.056338028169014086,,,,,,,0.0,0.0,0.0,-3.189910274412352,-3.189910274412352,-,-3.189910274412352,-,P_putida3,P_putida3,-3.189910274412352,single,"-,-",Negative,-3.189910274412352
33,663,159,0.0671654937385217,-7.049760266406167,-3.5248801332030832,EC,y,1.1137396464165223,1.444807599647787,0.044,0.523,0.09302325581395349,1.1137396464165223,1.444807599647787,0.044,0.523,0.09302325581395349,,,,,,,0.0,0.0,0.0,-3.5248801332030832,-3.5248801332030832,-,-3.5248801332030832,-,E_aerogenes,E_aerogenes,-3.5248801332030832,single,"-,-",Negative,-3.5248801332030832
34,700,190,0.0362873502125218,-6.473589693624624,-3.236794846812312,EC,y,1.4781918008161188,1.8141620655277744,0.044,1.311,0.06896551724137931,1.4781918008161188,1.8141620655277744,0.044,1.311,0.06896551724137931,,,,,,,0.0,0.0,0.0,-3.236794846812312,-3.236794846812312,-,-3.236794846812312,-,L_amnigena,L_amnigena,-3.236794846812312,single,"-,-",Negative,-3.236794846812312
35,738,55,0.0242739061113795,-1.407150800208411,-0.7035754001042055,EC,y,,1.8416174955728457,0.204,0.39349999999999996,0.028169014084507043,,1.8416174955728457,0.204,0.39349999999999996,0.028169014084507043,,,,,,,,0.0,0.0,-0.7035754001042055,-0.7035754001042055,-,-0.7035754001042055,-,M_kyungheense,M_kyungheense,-0.7035754001042055,single,"-,-",Negative,-0.7035754001042055
36,777,147,0.0314443012718517,0.2309483320065551,0.1154741660032775,EC,y,,2.05875107771678,0.265,0.22100000000000003,0.021164021164021163,,2.05875107771678,0.265,0.22100000000000003,0.021164021164021163,,,,,,,,0.0,0.0,0.1154741660032775,0.1154741660032775,+,0.1154741660032775,+,C_lactis8,C_lactis8,0.1154741660032775,single,"+,+",Positive,0.1154741660032775
37,817,31,0.1581939795056508,-3.063262271365155,-1.5316311356825776,EC,y,0.944850252685578,1.5726410906497388,0.204,0.868,0.030303030303030304,0.944850252685578,1.5726410906497388,0.204,0.868,0.030303030303030304,,,,,,,0.0,0.0,0.0,-1.5316311356825776,-1.5316311356825776,-,-1.5316311356825776,-,B_safensis1,B_safensis1,-1.5316311356825776,single,"-,-",Negative,-1.5316311356825776
38,858,96,0.0687121336331966,-6.1854658849466535,-3.0927329424733268,EC,y,2.285693767765052,1.789034376416507,0.122,0.9584999999999999,0.06060606060606061,2.285693767765052,1.789034376416507,0.122,0.9584999999999999,0.06060606060606061,,,,,,,0.0,0.0,0.0,-3.0927329424733268,-3.0927329424733268,-,-3.0927329424733268,-,P_koreensis2,P_koreensis2,-3.0927329424733268,single,"-,-",Negative,-3.0927329424733268
39,943,123,0.0212917383977453,-0.4661426077199153,-0.2330713038599576,EC,y,,2.199465616916982,0.17,0.072,,,2.199465616916982,0.17,0.072,,,,,,,,,0.0,0.0,-0.2330713038599576,-0.2330713038599576,-,-0.2330713038599576,-,C_odontotermitis,C_odontotermitis,-0.2330713038599576,single,"-,-",Negative,-0.2330713038599576
40,987,159,0.0362817929922738,-4.421804637647743,-2.2109023188238712,EC,y,,,,1.5455,0.0449438202247191,,,,1.5455,0.0449438202247191,,,,,,,,,,-2.2109023188238712,-2.2109023188238712,-,-2.2109023188238712,-,P_brassicacearum,P_brassicacearum,-2.2109023188238712,single,"-,-",Negative,-2.2109023188238712
41,1032,33,0.0814878786360204,-5.63943569831271,-2.819717849156355,EC,y,3.535339729078381,2.0386252720890123,0.122,0.9415,0.03361344537815126,3.535339729078381,2.0386252720890123,0.122,0.9415,0.03361344537815126,,,,,,,0.0,0.0,0.0,-2.819717849156355,-2.819717849156355,-,-2.819717849156355,-,P_simiae,P_simiae,-2.819717849156355,single,"-,-",Negative,-2.819717849156355
42,1078,213,0.107521736440677,-7.445294464950642,-3.722647232475321,EC,y,0.7245032781154273,1.4849811446614398,0.044,0.583,0.027586206896551724,0.7245032781154273,1.4849811446614398,0.044,0.583,0.027586206896551724,,,,,,,0.0,0.0,0.0,-3.722647232475321,-3.722647232475321,-,-3.722647232475321,-,P_agglomerans1,P_agglomerans1,-3.722647232475321,single,"-,-",Negative,-3.722647232475321
43,1125,219,0.0710068987147818,-7.716416360992429,-3.8582081804962143,EC,y,0.8306039971009049,1.5811125829617574,0.044,0.43000000000000005,0.038461538461538464,0.8306039971009049,1.5811125829617574,0.044,0.43000000000000005,0.038461538461538464,,,,,,,0.0,0.0,0.0,-3.8582081804962143,-3.8582081804962143,-,-3.8582081804962143,-,P_agglomerans3,P_agglomerans3,-3.8582081804962143,single,"-,-",Negative,-3.8582081804962143
