Hash,sample1,sample2,sample3,t0,t1,t2,t0_Area,t1_Area,t2_Area,Total
2056691679,M_kyungheense,Mono1,P_corrugata,716.567804,1915.396313,1911.715385,1143,868,780,3
2055526630,EA,F_banpakuense2,P_koreensis2,708.6357928,920.0379747,901.0860077,1274,869,779,3
2054361581,C_lactis3,P_simiae,RP1,732.2437223,805.029877,787.6596491,677,569,570,3
2053196532,C_lactis1,C_lactis4,P_monteilii2,696.0391236,961.466443,835.5549937,639,894,791,3
2052031483,C_lactis7,P_monteilii1,P_simiae,700.3272395,1039.683429,896.0597964,1094,875,786,3
2088148002,EColi,P_corrugata,RP1,677.1979978,840.0423892,811.7893701,899,519,508,3
2086982953,EColi,EColi,Mono1,710.1354749,3477.403685,2416.403922,716,597,510,3
2075332463,F_ginsengiterrae,P_putida3,S_rhizophila,726.5299252,1323.735469,1175.47588,802,843,767,3
2073002365,Blank1,C_lactis7,P_koreensis2,750.9631474,1053.1,861.1086691,1004,880,819,3
2070672267,Blank1,P_mosselii,P_putida1,737.6058282,1037.994048,873.4153846,652,168,455,3
2106788786,B_albus,E_cloacae2,P_corrugata,727.5585739,743.6909091,1055.55811,589,165,783,3
2105623737,B_albus,C_lactis3,S_rhizophila,741.9773936,7069.834292,3534.665816,752,869,784,3
2104458688,C_lactis6,C_lactis7,E_cloacae2,740.0431448,1519.747002,1880.267176,1043,834,786,3
2103293639,C_lactis3,F_banpakuense2,P_monteilii1,747.5505051,1204.080808,1048.722105,594,594,475,3
2102128590,Blank1,M_kyungheense,P_koreensis2,702.4564995,1105.12529,914.8232932,977,862,747,3
2100963541,Mono1,Mono1,S_rhizophila,730.1376,7283.391355,3712.546855,625,856,779,3
2099798492,F_banpakuense1,M_kyungheense,P_putida3,722.3117569,1316.27618,1085.19603,757,869,806,3
2098633443,C_lactis6,Mono1,P_monteilii2,760.1494361,952.8600917,830.8409669,1064,872,786,3
2097468394,C_lactis4,M_kyungheense,P_putida2,708.9682131,958.6568849,880.6686893,1164,886,824,3
2096303345,Blank1,RP1,S_rhizophila,707.302714,1328.131882,1559.354467,958,781,694,3
2095138296,B_albus,C_lactis3,P_putida2,724.996368,2886.644802,2783.689041,826,808,730,3
2093973247,Blank1,P_koreensis2,P_putida2,718.1044012,825.4930716,761.8010139,977,866,789,3
2092808198,F_banpakuense2,M_kyungheense,P_putida3,1053.270408,970.6516691,829.9910072,980,689,556,3
2091643149,Blank1,C_lactis3,P_putida3,679.3943662,670.0306122,634.1758242,923,294,273,3
2116109178,P_mosselii,S_rhizophila,S_rhizophila,733.5019646,1228.3053,1021.344403,1018,868,813,3
2114944129,C_lathyri2,E_cloacae2,P_simiae,736.5418455,926.7789352,852.827673,932,864,795,3
2112614031,C_lactis1,C_lactis5,P_putida3,727.5846834,959.0612813,829.6349745,679,718,589,3
2110283933,C_lactis5,F_ginsengiterrae,P_monteilii1,722.1437309,1213.293772,998.2621483,654,851,782,3
2144070354,P_koreensis2,P_mosselii,P_putida3,718.6434263,924.8252081,842.5832224,1004,841,751,3
2142905305,C_lactis3,C_lactis4,C_lathyri2,725.2188906,6553.09854,3904.400815,667,822,736,3
2141740256,C_lactis4,C_lathyri2,M_kyungheense,721.9980119,5582.185714,3027.227034,1006,840,762,3
2140575207,C_lactis5,F_ginsengiterrae,P_monteilii2,691.4991922,1121.369541,1028.979772,619,893,791,3
2139410158,C_lactis6,F_banpakuense1,RP1,718.0023669,1419.255215,1546.226175,845,815,787,3
2138245109,Blank1,C_lactis3,P_simiae,689.8080495,1632.965432,1238.191375,969,810,742,3
2137080060,B_albus,C_lactis1,Mono1,708.3280522,5117.54041,4165.372368,1073,829,760,3
2135915011,C_lactis1,C_lactis3,P_koreensis2,698.3626016,1026.407018,877.0603675,615,855,762,3
2134749962,E_cloacae2,P_putida2,S_rhizophila,678.0390545,827.2275523,745.0508701,973,813,747,3
2133584913,Blank1,EColi,EColi,684.9928644,2325.503277,1655.536337,981,763,688,3
-2135751305,B_albus,EColi,P_putida1,675.5062696,1961.44226,1776.553501,638,814,757,3
-2140411501,C_lactis5,C_lathyri2,Mono1,714.9528875,7061.747977,3916.094118,658,865,765,3
-2141576550,C_lactis3,C_lathyri2,F_ginsengiterrae,689.148,7686.841801,3879.224647,1000,866,779,3
-2143906648,Blank1,C_lactis5,P_putida2,754.5958055,1783.119298,1746.82732,1049,855,776,3
-2145071697,F_banpakuense1,P_putida2,P_putida3,727.2238193,874.9399333,805.0036855,974,899,814,3
-2146236746,C_lathyri2,F_ginsengiterrae,S_rhizophila,716.513089,1525.998613,1276.948995,955,721,647,3
-2147401795,F_banpakuense1,P_koreensis2,P_mosselii,718.4780168,1254.63357,1026.95995,1069,846,799,3
2146400452,C_lactis4,C_lactis7,P_koreensis1,716.555668,1291.478212,1082.535758,988,895,825,3
2145235403,P_corrugata,P_putida2,RP1,712.5875984,1080.216279,1101.870634,1016,860,773,3
-2113615374,Gh38,M_kyungheense,P_koreensis2,720.1828631,1024.921729,856.9686275,957,856,765,3
-2114780423,C_lactis4,E_cloacae2,P_koreensis2,704.765873,983.5533109,1010.45478,756,891,774,3
-2115945472,Blank1,P_corrugata,P_koreensis2,722.5792793,989.8490798,936.8507463,1110,815,737,3
-2117110521,C_lactis6,P_koreensis1,P_mosselii,700.5541942,1148.032979,1177.948235,1061,940,850,3
-2118275570,F_ginsengiterrae,P_koreensis2,P_putida1,688.2874433,1203.62586,2543.037879,661,727,132,3
-2119440619,C_lactis3,C_lactis5,P_koreensis2,670.2742409,965.7259843,810.5189394,1021,635,528,3
-2128761011,C_lactis5,C_lactis5,Gh38,711.6341731,6435.577103,3904.074866,913,856,748,3
-2129926060,C_lactis4,P_monteilii1,RP1,731.1126597,1107.290557,1038.914248,861,826,758,3
-2131091109,C_lactis5,P_putida1,P_putida1,679.4287201,1264.675882,1110.510848,961,1049,1014,3
-2094974590,B_albus,P_monteilii1,P_putida3,788.1742827,1056.428258,833.8586572,941,913,849,3
-2096139639,C_lactis5,C_lactis5,P_koreensis2,703.4842767,1220.649583,844.2088949,636,839,742,3
-2097304688,Blank1,C_lathyri2,Mono1,769.748307,10597.55447,4321.132312,886,817,718,3
-2098469737,Blank1,F_banpakuense1,P_putida3,718.6854902,1006.788551,777.3486924,1275,856,803,3
-2099634786,C_lactis6,P_putida2,P_putida2,682.5984174,972.0037037,783.5684485,1011,810,767,3
-2100799835,C_lactis4,F_banpakuense1,P_simiae,733.7020979,1296.722667,874.347432,715,750,662,3
-2101964884,C_lactis3,C_lactis6,Gh38,715.652834,6079.636129,3598.807099,988,775,648,3
-2103129933,C_lactis6,M_kyungheense,P_corrugata,663.9664804,1235.071885,1053.218075,716,626,509,3
-2105460031,C_lactis5,P_monteilii1,P_putida3,712.0449438,1019.744856,792.2822903,979,729,751,3
-2107790129,C_lactis4,M_kyungheense,P_putida2,704.8395462,873.2411576,771.8558282,617,622,652,3
-2108955178,EA,Mono1,P_putida2,701.081696,1336.728832,1062.584949,967,933,877,3
-2110120227,F_banpakuense1,L_macroides,P_putida1,681.0352673,1688.983911,1750.374663,879,808,742,3
-2111285276,Blank1,L_macroides,P_koreensis2,690.08,938.2327791,782.6794381,1000,842,783,3
-2112450325,Blank1,C_lactis7,P_corrugata,666.2122736,1008.513674,981.6348993,994,841,745,3
-2076333806,Blank1,F_banpakuense1,P_corrugata,644.8618219,1163.572327,967.7167553,977,795,752,3
-2077498855,C_lactis6,E_cloacae2,P_mosselii,663.7612705,910.8061798,884.6368,976,712,625,3
-2087984296,C_lactis3,P_mosselii,P_simiae,761.8604651,1167.153747,962.8085992,860,774,721,3
-2090314394,B_albus,P_koreensis2,S_rhizophila,770.1227218,1480.12943,1071.620087,823,649,458,3
-2091479443,C_lathyri2,P_corrugata,P_putida3,691.4746922,1625.924188,1305.015424,731,831,778,3
-2092644492,B_albus,Blank1,F_ginsengiterrae,760.0054945,2887.301663,2201.905537,910,842,614,3
-2093809541,BI,C_lactis3,F_banpakuense1,687.0195195,1435.571956,1415.294679,666,813,733,3
-2057693022,E_cloacae2,Mono1,P_monteilii2,811.9420765,1282.270784,961.4927536,915,842,690,3
-2058858071,M_kyungheense,P_mosselii,P_putida3,674.8030127,1013.966061,910.0192044,863,825,729,3
-2062353218,C_lactis7,P_putida3,RP1,690.9176883,896.4666667,862.1752577,571,540,485,3
-2065848365,C_lactis1,F_banpakuense1,P_corrugata,695.7063953,1241.017241,,1032,116,,3
-2068178463,P_koreensis2,P_monteilii2,P_putida2,667.8575884,,,962,,,3
-2070508561,C_lactis1,C_lactis7,P_putida2,672.035809,728.9339623,,754,106,,3
-2072838659,C_lactis1,C_lactis4,L_macroides,646.7117117,3326.414634,3072.397059,777,205,748,3
-1425569306,C_lactis3,P_putida2,P_putida3,761.6608997,,,867,,,3
-1420909110,C_lathyri2,P_corrugata,P_putida3,777.789357,,,902,,,3
-1418579012,BI,C_lactis3,F_banpakuense1,782.5315615,,,903,,,3
-1416248914,M_kyungheense,P_mosselii,P_putida3,802.4017758,,,901,,,3
-1415083865,C_lactis3,C_lactis6,F_banpakuense1,785.8322581,,,930,,,3
-1413918816,C_lactis3,P_putida1,S_rhizophila,801.7743702,,,913,,,3
-1412753767,C_lactis7,P_putida3,RP1,1234.265734,,,715,,,3
-1149452693,F_banpakuense1,P_corrugata,RP1,802.4741676,,,871,,,3
-1147122595,C_lactis6,P_corrugata,P_putida2,835.046627,987.9821429,,1008,840,,3
-1133142007,Blank1,F_banpakuense1,F_banpakuense1,717.7658402,6397.107229,3308.120393,726,830,814,3
-1131976958,C_lactis5,C_lathyri2,P_koreensis2,740.5011655,1226.810345,988.5942446,858,754,695,3
-1168093477,BI,B_albus,Blank1,811.7171271,2162.027545,1862.397436,905,835,780,3
-1166928428,C_lactis6,F_ginsengiterrae,P_monteilii2,759.8961749,1334.134911,1209.936306,915,845,785,3
-1165763379,EA,EColi,F_banpakuense1,791.3154362,1052.483444,995.4296296,894,906,810,3
-1164598330,C_lactis1,C_lactis5,S_rhizophila,806.7656587,7336.580347,3268.291026,926,865,780,3
-1163433281,F_ginsengiterrae,P_corrugata,S_rhizophila,809.2040134,1332.404523,1126.251673,897,796,747,3
-1162268232,L_macroides,P_corrugata,P_corrugata,795.0608407,1207.201235,1078.829268,904,810,738,3
-1161103183,EColi,F_banpakuense2,P_simiae,856.3111111,1088.937572,903.9110825,900,865,776,3
-1159938134,C_lactis3,C_lactis3,F_banpakuense2,804.8525981,5695.891676,3722.954603,943,877,793,3
-1158773085,Blank1,C_lactis5,C_lactis6,745.4679204,1811.61529,1493.175676,904,811,740,3
-1157608036,Blank1,Blank1,P_putida2,735.2655556,901.2050401,826.2726098,900,873,774,3
-1156442987,Mono1,P_koreensis2,RP1,824.6020067,912.6440129,877.9491803,897,618,610,3
-1152947840,B_albus,C_lactis3,P_putida2,797.5068664,1357.531161,1207.802589,801,706,618,3
-1151782791,C_lactis5,C_lactis7,P_corrugata,749.9029768,1473.050794,1318.735805,907,945,863,3
-1186734261,C_lactis3,M_kyungheense,P_koreensis2,752.2263099,1424.665865,1159.019506,897,832,769,3
-1175083771,EA,F_banpakuense1,P_monteilii2,770.4436275,925.6481687,904.8185096,816,901,832,3
-1173918722,C_lactis5,P_corrugata,P_putida1,741.6411076,1251.163406,1073.032927,939,869,820,3
-1172753673,C_lactis3,C_lactis4,P_putida1,739.0266809,922.5772358,851.8377088,937,861,838,3
-1171588624,E_cloacae2,Mono1,P_koreensis1,810.9324324,1406.997763,1363.042067,962,894,832,3
-1170423575,Blank1,C_lactis7,P_simiae,809.4232862,2940.641844,2666.548263,919,846,777,3
-1169258526,B_albus,C_lactis6,Mono1,810.3962264,4574.777234,3354.31516,901,817,752,3
-1205375045,BI,Blank1,C_lathyri2,748.6115515,1144.02457,1061.300417,883,814,719,3
-1204209996,C_lactis7,F_ginsengiterrae,P_corrugata,830.1619145,1363.582176,1176.181258,982,864,811,3
-1203044947,C_lactis6,P_koreensis1,P_koreensis2,822.6765642,1117.839416,861.2519841,943,548,504,3
-1201879898,F_ginsengiterrae,L_macroides,S_rhizophila,791.7535377,3859.18481,2115.248476,848,790,656,3
-1199549800,B_albus,C_lactis3,P_mosselii,817.7105263,1611.703837,1297.383838,950,834,792,3
-1197219702,C_lactis5,C_lactis6,C_lactis7,783.1154261,1904.881745,1510.819588,927,871,776,3
-1196054653,F_banpakuense1,P_koreensis2,P_monteilii1,839.6795284,1091.284281,935.66133,933,897,812,3
-1193724555,EColi,P_corrugata,P_putida3,808.2649657,1020.746591,930.1713918,1019,880,776,3
-1192559506,E_cloacae2,M_kyungheense,P_putida2,846.3884514,1028.75252,987.5595092,762,893,815,3
-1190229408,Mono1,P_corrugata,P_koreensis1,815.8115016,1170.592849,1050.639594,939,867,788,3
-1189064359,B_albus,C_lactis4,RP1,767.5656895,1567.6625,1484.914936,921,1040,1011,3
-1187899310,Blank1,P_koreensis2,S_rhizophila,741.7066069,1138.868516,996.0452128,893,829,752,3
-1217025535,C_lactis6,P_putida1,P_putida2,773.8854701,1042.134351,982.0872011,585,655,711,3
-1215860486,EColi,L_macroides,P_koreensis2,753.1175743,1049.157761,891.9469697,808,786,660,3
-1214695437,C_lactis5,E_cloacae2,F_ginsengiterrae,811.881549,1607.509926,1780.138211,878,806,738,3
-1213530388,B_albus,C_lactis3,M_kyungheense,774.8511577,4286.298716,2831.678205,907,857,780,3
-1212365339,C_lactis6,EColi,P_putida3,764.3833333,951.541958,847.6570352,900,858,796,3
-1211200290,BI,C_lactis4,EColi,798.9731801,1389.216418,1261.533913,783,670,575,3
-1210035241,F_banpakuense1,P_koreensis2,S_rhizophila,793.837626,1169.509004,951.6765847,893,833,773,3
-1208870192,C_lactis1,P_putida3,RP1,802.6271739,896.7693475,861.0283019,920,659,636,3
-1207705143,Mono1,P_putida3,P_putida3,841.0709607,977.0600227,874.1576923,916,883,780,3
-1206540094,E_cloacae2,Gh38,Mono1,850.4302326,1516.958889,1450.750627,946,900,798,3
-1242656613,C_lactis5,C_lactis5,Gh38,809.756785,5306.446429,3747.69875,958,896,800,3
-1241491564,Blank1,C_lactis5,P_putida2,795.5202186,982.1156138,885.6492637,915,839,747,3
-1240326515,C_lactis5,C_lactis6,F_banpakuense2,793.7706422,2103.873303,1657.357914,763,663,556,3
-1239161466,C_lactis4,F_ginsengiterrae,P_simiae,851.540107,1639.406286,1331.579416,935,859,787,3
-1236831368,C_lactis3,F_banpakuense1,P_putida2,815.4699769,1006.978795,871.6256219,866,896,804,3
-1235666319,P_corrugata,P_koreensis2,P_putida2,822.4771739,1100.007184,973.8805461,920,696,586,3
-1234501270,C_lathyri2,F_ginsengiterrae,Mono1,811.2901499,6744.268793,4109.043423,934,878,783,3
-1231006123,F_ginsengiterrae,P_putida1,S_rhizophila,753.7317073,1466.247585,1292.418546,1066,828,798,3
-1229841074,C_lactis7,Mono1,P_putida1,743.5897436,2338.840391,2098.014286,897,1228,1190,3
-1258967299,Blank1,C_lactis4,RP1,747.1656716,1906.423423,2022.295389,670,666,694,3
-1257802250,M_kyungheense,P_putida1,RP1,743.9043571,1347.22118,1367.331476,941,746,718,3
-1256637201,Blank1,E_cloacae2,P_putida3,748.1476656,1036.640662,982.9207921,921,846,808,3
-1254307103,C_lactis4,C_lactis5,Gh38,768.5687732,5084.553279,4459.515337,807,732,489,3
-1253142054,C_lactis4,P_corrugata,P_corrugata,811.5967914,1246.146542,1069.207959,935,853,779,3
-1251977005,C_lactis3,P_monteilii2,P_simiae,818.5766345,1102.254005,876.1584906,933,874,795,3
-1249646907,B_albus,L_macroides,P_corrugata,804.4465409,1540.073406,1364.073604,954,831,788,3
-1248481858,B_albus,C_lactis6,F_banpakuense1,824.5083507,1825.954496,1424.43253,958,923,830,3
-1247316809,C_lactis6,EA,P_corrugata,874.729927,1150.523649,1121.730867,959,888,784,3
-1244986711,P_mosselii,P_putida2,S_rhizophila,884.0066298,1156.664234,963.730315,905,822,508,3
-1243821662,B_albus,C_lactis3,L_macroides,819.9508547,8337.058754,3964.124464,936,851,699,3
-1279938181,C_lactis1,E_cloacae2,P_putida1,801.8445808,1067.099099,899.8053097,978,777,678,3
-1278773132,E_cloacae2,M_kyungheense,P_koreensis2,901.5094142,1314.442438,1172.850602,956,886,830,3
-1277608083,F_banpakuense1,Gh38,P_corrugata,928.5312899,1580.23432,1481.065,783,845,800,3
-1276443034,P_monteilii1,P_putida2,S_rhizophila,947.2373792,1137.136364,1022.109453,931,880,804,3
-1275277985,C_lactis7,F_banpakuense2,P_koreensis2,812.3589744,1187.042781,972.3605769,780,935,832,3
-1274112936,C_lactis3,F_banpakuense1,L_macroides,822.875,3697.362302,2220.481852,1080,886,799,3
-1272947887,C_lactis4,F_banpakuense2,P_corrugata,775.3416486,1350.182249,1210.501312,922,845,762,3
-1271782838,Mono1,P_corrugata,RP1,784.9013158,899.998227,852.3460208,1216,564,578,3
-1263627495,C_lactis5,C_lathyri2,EColi,762.7750411,4579.774825,2873.168831,609,715,693,3
-1262462446,Blank1,C_lactis3,F_banpakuense2,730.8090717,6768.290685,3658.079172,948,891,821,3
-1000326421,Blank1,P_koreensis1,P_monteilii2,754.4581179,1042.668911,858.0391459,967,891,843,3
-999161372,C_lactis4,P_putida1,P_simiae,778.8909287,1290.89726,1086.205619,926,876,783,3
-996831274,Blank1,P_mosselii,P_putida2,754.9679487,1038.542373,914.789801,936,885,804,3
-994501176,P_corrugata,P_putida1,P_simiae,794.7369542,1135.850746,937.5735661,939,871,802,3
-993336127,C_lactis7,P_corrugata,P_putida3,824.7046154,1068.492927,936.6021765,975,919,827,3
-992171078,C_lactis5,C_lactis7,P_putida3,822.091858,1361.180023,1166.993506,958,861,770,3
-991006029,F_banpakuense1,F_ginsengiterrae,RP1,854.58458,1667.207332,1598.170404,869,791,669,3
-989840980,Blank1,C_lactis1,F_banpakuense2,920.6277457,5742.724181,2708.089985,865,794,689,3
