,Negative-Negative__additive,Negative-Negative__mean,Negative-Negative__OD_W_mean,Negative-Negative__strongest,Negative-Negative__modified_strongest,Postive-Negative__additive,Postive-Negative__mean,Postive-Negative__OD_W_mean,Postive-Negative__strongest,Postive-Negative__modified_strongest,Postive-Postive__additive,Postive-Postive__mean,Postive-Postive__OD_W_mean,Postive-Postive__strongest,Postive-Postive__modified_strongest
266,0.6610742535588262,0.2669037797540989,0.22301062714115855,0.17353777131410686,0.17353777131410686,0.13853094686847298,0.42306738802773447,0.2848400043518068,0.1659674747841056,0.16075821688066586,0.6859269555080499,0.6872019043034119,0.7470326786482983,0.5862525328286208,0.5862525328286208
267,0.6361392913835687,0.26312877192152123,0.23488183014771474,0.15725734876862565,0.15725734876862565,0.1341138726070704,0.42443047661816835,0.26859677149582245,0.16001899096102049,0.15935870776264188,0.7920761879574177,0.7556371734848979,0.7952155677347679,0.6790988154715502,0.6790988154715502
268,0.667984808155921,0.2411507490289255,0.21060701286280062,0.1631030709390567,0.1631030709390567,0.13651697791255019,0.43182986275786267,0.28245784530798485,0.16589370878152743,0.15588671600103712,0.96066511511213,0.8975987649024546,0.9737074017667084,0.859389619604181,0.859389619604181
269,0.6528682540876592,0.24105547184189371,0.20840485922493118,0.1548811845856692,0.1548811845856692,0.14821868021277168,0.44077386764088355,0.293444191547698,0.171235339427034,0.16187176343083623,1.0574668657711777,0.9819197716268895,1.0857079052750507,0.9391882017428099,0.9391882017428099
270,0.6482508283136228,0.2577912727869,0.21116732963144336,0.1619312577040497,0.1619312577040497,0.14744759428825052,0.42727390139995164,0.29367957118882826,0.16584063904591845,0.16188033498014132,0.7663505707826775,0.7497067154359556,0.7818173093534017,0.6521337604522279,0.6521337604522279
271,0.6550057589816409,0.2421549152839101,0.21047061852079424,0.1588548210545872,0.1588548210545872,0.1296843318924549,0.42748710702997894,0.28712670372646615,0.15811814206138564,0.15270837718330743,0.9334487702105878,0.853250910533278,0.8882041926045069,0.7840603582115275,0.7840603582115275
272,0.6516246262873632,0.24951218911911807,0.21833939108740524,0.16764768736481098,0.16764768736481098,0.11991202730229202,0.42024311544971216,0.2847963570913652,0.14638808798425915,0.14716020126453502,0.76604781396014,0.7581697376197908,0.8260642806049768,0.6550014735833088,0.6550014735833088
273,0.6433515048825217,0.27517673716350666,0.2228251755742993,0.17556248665098936,0.17556248665098936,0.14503664124107488,0.4284413124039138,0.3001311816162877,0.16975307700165684,0.1626190188292443,0.740175016842694,0.7361103097164484,0.7726614142743168,0.639971520968243,0.639971520968243
274,0.6153168065575891,0.2748967451589598,0.23018689622670815,0.16491010900153244,0.16491010900153244,0.15316825732800285,0.4111308541944219,0.2736068231449934,0.1796707095356763,0.17283879091606355,0.763640443658132,0.7483020851973143,0.7683624131556678,0.6401604169085516,0.6401604169085516
275,0.6738260219641088,0.25469578874496085,0.21390038215429144,0.1635825492047036,0.1635825492047036,0.1434048806270199,0.42660328484591375,0.28179149380505075,0.16874059027505334,0.16619882919473503,0.9485175238986489,0.9274605917415163,0.999793175924398,0.877041251397627,0.877041251397627
276,0.6570629608131553,0.24085173092061649,0.20548760393307225,0.1531814394994292,0.1531814394994292,0.15237354140597292,0.4356908546622028,0.3022423210918904,0.17494738854306371,0.16892299534602004,0.8864164101699686,0.8344161104663851,0.8804084963845302,0.7510096829333861,0.7510096829333861
277,0.6591271571000947,0.2546017972963796,0.21588195151628345,0.16783774098960194,0.16783774098960194,0.14450428731777154,0.4389578016951148,0.297879923675743,0.17150349885924698,0.16439820015646414,0.8569533500829745,0.8095079438166038,0.8345449719256611,0.7295229094954595,0.7295229094954595
