,additive,mean,OD_W_mean,strongest,modified_strongest
822,0.4672511421427007,0.3163585136046235,0.2358589330018215,0.15944347623585803,0.15866142141976247
823,0.4575847458338805,0.30953177459253467,0.23319049059302635,0.15126459386405222,0.15163093092478394
824,0.4648040592992559,0.31703859690727654,0.23754936166534737,0.15648386196409178,0.15542918844020226
825,0.4655424831626449,0.31523863354589354,0.23752359388125943,0.15334375266187342,0.1522548736932166
826,0.4597536547238009,0.32048725501264846,0.23652150553878093,0.16236645981942063,0.16059199202534152
827,0.45204924697098625,0.3070619383433417,0.2271269073731255,0.14669510891549933,0.1467681279868271
828,0.4620364875354499,0.32265861295500986,0.23880352659561685,0.15705310294530517,0.15399641253053944
829,0.46573351232721677,0.3246587347202442,0.24786922716045873,0.17050718992850197,0.16815234061233547
830,0.47075165932925794,0.32726192308848706,0.24341568287764884,0.16531281987539417,0.16211198987922162
831,0.46598313457959467,0.3260071517720477,0.2450227624206243,0.16874240464846021,0.16786166835828628
832,0.45801034169903354,0.3260236184688577,0.2447248705267423,0.16421496094626423,0.16252408899027582
